k1_94,0.001444057,,,
k1_96,0.011552453,,,
k1_98,6.91E-01,,,
k1_100,6.80E-01,,,
k1_102,0.936,,,
k1_104,0.011552453,,
k1_106,0.01155245,,
k1_108,0.468,,
k1_110,0.01155245,,,
k1_112,0.011552453,,,
k1_113,0.011552453,,,
k1_114,9.93E-01,,,
k1_115,9.75E-01,,,
k1_116,0.993,,,
k1_117,0.993,,,
k1_118,6.75E-02,,,
k1_119,6.75E-02,,,
k1_120,6.93E-02,,,
k1_121,6.75E-02,,,
k1_122,6.93E-02,,,
k1_123,6.93E-02,,,
k1_124,6.93E-02,,,
k1_125,6.75E-02,,,
k1_126,6.75E-02,,,
k1_127,6.93E-02,,,
k1_128,6.93E-02,,,
k1_129,0.003955245,
k1_130,0.0693,,,
k1_131,0.1493,,
k1_132,0.0675,,,
k1_134,0.011552453,,,
k1_136,6.82E-01,,,
k1_137,0.011552453,,,
k1_138,0.011552453,,,
k1_139,6.91E-01,,,
k1_140,6.91E-01,,,
k1_141,6.80E-01,,,
k1_142,6.80E-01,,,
k1_143,0.936,,,
k1_144,3.75E-02,,,
k1_145,0.11552453,,,
k1_151,0.936,,,
k1_152,0.0693,,,
k1_154,0.001155245,,,
k1_155,0.0675,,,
k1_162,0.0675,,,
k1_163,0.0675,,,
k1_168,6.93E-02,,,
k1_169,6.93E-02,,,
k1_174,6.93E-02,,,
k1_175,6.93E-02,,,
k1_178,0.0675,,,
k1_181,0.0675,,,
k1_189,0.6912,,,
k1_190,6.75E-02,,,
k1_192,0.001155245,,,
k1_193,0.0693,,,
k1_194,0.0693,,,
k1_199,6.75E-02,,,
k1_200,6.75E-02,,,
