parameter,value,,,
k1_119,6.75E-02,,,
k1_120,6.93E-02,,,
k1_121,6.75E-02,,,
k1_122,6.93E-02,,,
k1_123,6.93E-02,,,
k1_124,6.93E-02,,,
k1_125,6.75E-02,,,
k1_126,6.75E-02,,,
k1_127,6.93E-02,,,
k1_128,6.93E-02,,,
k1_129,0.003955245,,#0.01155245,
k1_130,0.0693,,,
k1_131,0.1493,,#0.0693,
k1_132,0.0675,,,
k1_133,8856.4059,,,
k1_134,0.011552453,,,
k1_135,7.95E+04,,,
k1_136,6.82E-01,,,
k1_137,0.011552453,,,
k1_138,0.011552453,,,
k1_139,6.91E-01,,,
k1_140,6.91E-01,,,
k1_141,6.80E-01,,,
k1_142,6.80E-01,,,
k1_143,0.936,,,
k1_144,3.75E-02,,,
k1_145,0.11552453,,,
k1_146,8.20E-04,,,
k1_147,0.000155,,,
k1_148,0.0000014,,,
k1_149,0.0000364,,,
k1_150,17.35,,,
k1_151,0.936,,,
k1_152,0.0693,,,
k1_153,1,,,
k1_154,0.001155245,,,
k1_155,0.0675,,,
k1_156,8.20E-07,,,
k1_157,1.55E-04,,,
k1_158,7.80E-04,,,
k1_159,3.95E-05,,,
k1_160,7.80E-06,,,
k1_161,3.95E-05,,,
k1_162,0.0675,,,
k1_163,0.0675,,,
k1_164,5.90E-03,,,
k1_165,5.00E-04,,,
k1_166,5.90E-05,,,
k1_167,5.00E-04,,,
k1_168,6.93E-02,,,
k1_169,6.93E-02,,,
k1_170,5.90E-03,,,
k1_171,1.00E-03,,,
k1_172,5.90E-05,,,
k1_173,1.00E-03,,,
k1_174,6.93E-02,,,
k1_175,6.93E-02,,,
k1_176,6.03E-07,,,
k1_177,2.60E-04,,,
k1_178,0.0675,,,
k1_179,0.0115525,,,
k1_180,0.00115525,,,
k1_181,0.0675,,,
k1_182,4.48E-05,,,
k1_183,1.12E-04,,,
k1_184,4.48E-07,,,
k1_185,1.12E-04,,,
k1_186,3.24E-05,,,
k1_187,3.36E-04,,,
k1_188,42.6407,,,
k1_189,0.6912,,,
k1_190,6.75E-02,,,
k1_191,1,,,
k1_192,0.001155245,,,
k1_193,0.0693,,,
k1_194,0.0693,,,
k1_195,4.91E-05,,,
k1_196,1.57E-04,,,
k1_197,4.91E-07,,,
k1_198,1.57E-04,,,
k1_199,6.75E-02,,,
k1_200,6.75E-02,,,
k1_201,0.0115525,,,
k1_202,0.00115525,,,
k2_eps,1.00E+00,,,
